# x	y	u	v	mask
  0.2590	  5.0456	 -0.5077	  1.1171	  0.0000
  0.4766	  5.0456	  0.3255	  1.3945	  0.0000
  0.6942	  5.0456	  0.1501	  2.1531	  0.0000
  0.9117	  5.0456	  0.4523	  2.0079	  1.0000
  1.1293	  5.0456	 -0.4599	  3.8134	  0.0000
  1.3469	  5.0456	  0.5020	  3.1307	  1.0000
  1.5644	  5.0456	  0.4257	  3.6488	  1.0000
  1.7820	  5.0456	  0.0354	  4.2586	  1.0000
  1.9996	  5.0456	  0.2014	  4.3610	  1.0000
  2.2172	  5.0456	  0.2148	  4.3931	  1.0000
  2.4347	  5.0456	 -1.6780	  5.8570	  0.0000
  2.6523	  5.0456	  0.4892	  4.0691	  1.0000
  2.8699	  5.0456	  0.5628	  3.7628	  1.0000
  3.0874	  5.0456	  0.5846	  3.4941	  1.0000
  3.3050	  5.0456	  4.0559	 -1.9209	  0.0000
  3.5226	  5.0456	  0.5094	  2.7759	  1.0000
  3.7402	  5.0456	  0.5795	  3.0736	  0.0000
  3.9577	  5.0456	  0.4694	  1.8820	  0.0000
  4.1753	  5.0456	 -0.2368	  1.9533	  1.0000
  4.3929	  5.0456	 -0.5372	  1.5479	  1.0000
  4.6104	  5.0456	 -0.8260	  1.1180	  0.0000
  4.8280	  5.0456	 -0.8799	  1.0128	  0.0000
  5.0456	  5.0456	 -0.5930	  0.4614	  0.0000
  0.2590	  4.8280	  0.5361	  1.1335	  0.0000
  0.4766	  4.8280	  0.3795	  1.3408	  0.0000
  0.6942	  4.8280	  0.5203	  1.1923	  0.0000
  0.9117	  4.8280	  0.4389	  1.9184	  1.0000
  1.1293	  4.8280	 -0.4827	  4.0747	  0.0000
  1.3469	  4.8280	  0.4973	  3.0444	  1.0000
  1.5644	  4.8280	  0.4515	  3.5981	  1.0000
  1.7820	  4.8280	  0.1436	  4.1794	  1.0000
  1.9996	  4.8280	  5.1711	  5.7904	  0.0000
  2.2172	  4.8280	  0.4177	  4.3997	  1.0000
  2.4347	  4.8280	 -2.1676	  3.6110	  0.0000
  2.6523	  4.8280	  0.6151	  4.2168	  1.0000
  2.8699	  4.8280	  0.6163	  3.9330	  1.0000
  3.0874	  4.8280	  0.5564	  3.7207	  1.0000
  3.3050	  4.8280	  0.6214	  3.3461	  1.0000
  3.5226	  4.8280	  0.3746	  3.0233	  1.0000
  3.7402	  4.8280	  0.1102	  2.8939	  1.0000
  3.9577	  4.8280	 -0.0827	  2.4016	  1.0000
  4.1753	  4.8280	 -0.3358	  2.1043	  1.0000
  4.3929	  4.8280	 -1.4311	  3.5838	  0.0000
  4.6104	  4.8280	 -0.5118	  0.9814	  0.0000
  4.8280	  4.8280	 -0.5268	  0.7058	  0.0000
  5.0456	  4.8280	 -0.5083	  0.4977	  0.0000
  0.2590	  4.6104	  0.0308	  0.6376	  0.0000
  0.4766	  4.6104	  0.4136	  1.0756	  0.0000
  0.6942	  4.6104	  0.5344	  1.0853	  0.0000
  0.9117	  4.6104	  1.0561	  0.9910	  0.0000
  1.1293	  4.6104	  0.2913	  2.2156	  1.0000
  1.3469	  4.6104	  0.9877	  4.3742	  0.0000
  1.5644	  4.6104	  0.3206	  3.3436	  1.0000
  1.7820	  4.6104	  0.0720	  3.9590	  1.0000
  1.9996	  4.6104	 -0.6473	  6.2137	  0.0000
  2.2172	  4.6104	 -1.0132	  5.8369	  0.0000
  2.4347	  4.6104	  0.4252	  4.6003	  1.0000
  2.6523	  4.6104	  1.4802	  4.2364	  0.0000
  2.8699	  4.6104	  0.5839	  4.1346	  1.0000
  3.0874	  4.6104	  0.4958	  3.9219	  1.0000
  3.3050	  4.6104	  0.4981	  3.5111	  1.0000
  3.5226	  4.6104	  0.2429	  3.1226	  1.0000
  3.7402	  4.6104	 -0.0122	  2.9168	  1.0000
  3.9577	  4.6104	  0.0088	  2.1405	  0.0000
  4.1753	  4.6104	 -0.4230	  2.0647	  1.0000
  4.3929	  4.6104	 -0.6299	  1.5877	  1.0000
  4.6104	  4.6104	 -1.0214	 -0.5568	  0.0000
  4.8280	  4.6104	 -0.4444	  0.5800	  0.0000
  5.0456	  4.6104	 -0.4019	  0.2936	  0.0000
  0.2590	  4.3929	  0.5293	  0.5536	  0.0000
  0.4766	  4.3929	  0.4733	  0.7925	  0.0000
  0.6942	  4.3929	  1.0379	  0.8344	  0.0000
  0.9117	  4.3929	  1.3173	  1.2756	  0.0000
  1.1293	  4.3929	  0.3941	  1.9933	  1.0000
  1.3469	  4.3929	  0.4767	  2.5790	  1.0000
  1.5644	  4.3929	  0.4479	  3.1254	  1.0000
  1.7820	  4.3929	  0.2087	  3.7232	  1.0000
  1.9996	  4.3929	  0.2864	  4.1103	  1.0000
  2.2172	  4.3929	  0.4520	  4.4573	  1.0000
  2.4347	  4.3929	 -4.4690	  8.1742	  0.0000
  2.6523	  4.3929	  1.6821	  1.1051	  0.0000
  2.8699	  4.3929	  1.6425	  1.1366	  0.0000
  3.0874	  4.3929	  0.3763	  4.0446	  1.0000
  3.3050	  4.3929	  0.3458	  3.6527	  1.0000
  3.5226	  4.3929	  4.4559	  5.3052	  0.0000
  3.7402	  4.3929	 -0.1483	  2.9823	  1.0000
  3.9577	  4.3929	 -4.1335	  1.9321	  0.0000
  4.1753	  4.3929	 -0.5460	  2.0993	  1.0000
  4.3929	  4.3929	 -0.6701	  2.7515	  0.0000
  4.6104	  4.3929	 -0.7845	  1.2854	  1.0000
  4.8280	  4.3929	 -0.0722	 -0.0515	  0.0000
  5.0456	  4.3929	 -0.2233	  0.0459	  0.0000
  0.2590	  4.1753	  0.6518	  0.4028	  0.0000
  0.4766	  4.1753	  0.8600	  0.9816	  0.0000
  0.6942	  4.1753	  1.0423	  0.8349	  0.0000
  0.9117	  4.1753	  0.5734	  1.6086	  1.0000
